"Nom","Adresse","longlat","Voir les spectacles du jour"
"HALLES (THÉÂTRE DES)","Rue du Roi René 84000 Avignon","43.946239 4.809882","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/halles-theatre-des-t4671/"
"SCIERIE (LA)","15 bd du quai St Lazare 84000 Avignon","43.95215 4.818653","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/scierie-la-t4759/"
"95. AU VERBE FOU, THÉÂTRE LITTÉRAIRE","95 RUE DES INFIRMIERES 84000 Avignon","43.9513541 4.81505440000001","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/95-au-verbe-fou-theatre-litteraire-t4697/"
"BUFFON / QUARTIER LUNA","18 rue buffon 84000 Avignon","43.9463714 4.81533060000004","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/buffon-quartier-luna-t4717/"
"ROI RENÉ (THÉÂTRE DU)","4 bis, rue Grivolas 84000 Avignon","43.9470724 4.80941229999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/roi-rene-theatre-du-t4693/"
"PARIS (LE)","5 rue henri fabre 84000 Avignon","43.9451301 4.80683850000003","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/paris-le-t4766/"
"PARADISE RÉPUBLIQUE","9, rue Mignard 84000 Avignon","43.947211 4.8053979","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/paradise-republique-t4733/"
"ATELIER 44 (L')","44, rue Thiers 84000 Avignon","43.9470608 4.81428949999997","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/atelier-44-l-t4647/"
"CHAPELLE DES ITALIENS (LA)","33 rue Paul Saïn 84000 Avignon","43.948332819806 4.81231661854601","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chapelle-des-italiens-la-t4776/"
"CHAPEAU ROUGE THÉÂTRE","25 , 34 36 Rue Du Chapeau Rouge 84000 Avignon","43.9491006 4.81160139999997","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chapeau-rouge-theatre-t4715/"
"LILA'S (THÉÂTRE DES)","Entrée rue Rateau (angle rue Londe) 84000 Avignon","43.945623 4.813344","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/lila-s-theatre-des-t4646/"
"ALYA, L'ESPACE","31 bis, rue Guillaume Puy 84000 Avignon","43.9478824 4.814391","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/alya-l-espace-t4701/"
"3 SOLEILS (THÉÂTRE / GALERIE)","4, rue Buffon 84000 Avignon","43.9476351 4.81580299999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/3-soleils-theatre-galerie-t4722/"
"PETIT LOUVRE (Van Gogh)","23 rue Saint Agricol 84000 Avignon","43.948759 4.804462","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/petit-louvre-van-gogh-t4682/"
"BARRETTA (THÉÂTRE)","12, place Saint Didier 84000 Avignon","43.946605 4.806997","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/barretta-theatre-t4757/"
"FACTORY (LA) - 1-Théâtre de l'Oulle","LA FACTORY//Fabrique d'Art Vivant 84000 Place Crillon Localiser sur la carte","43.950118 4.802923","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/factory-la-1-theatre-de-l-oulle-t4678/"
"ÉTOILES (LES)","54 rue Guillaume Puy 84000 Avignon","43.9463 4.81416999999999","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/etoiles-les-t4645/"
"FACTORY (LA) - 3-Chapelle des Antonins","5, rue Figuière 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/factory-la-3-chapelle-des-antonins-t4680/"
"GRAND PAVOIS (THÉÂTRE LE)","13, rue Bouquerie 84000 Avignon","43.946955 4.80465","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/grand-pavois-theatre-le-t4652/"
"BARRIQUES (THÉÂTRE DES)","8, rue Ledru Rollin 84000 Avignon","43.9501807 4.81254480000007","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/barriques-theatre-des-t4726/"
"CHÊNE NOIR (THÉÂTRE DU) - Direction Julien Gelas","8 BIS RUE SAINTE CATHERINE 84000 Avignon","43.9505613 4.80972989999998","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chene-noir-theatre-du-direction-julien-gelas-t4725/"
"ALBATROS","29, rue des Teinturiers 84000 Avignon","43.9453484 4.81290749999994","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/albatros-t4641/"
"ALYA, LE CHAPEAU D'ÉBÈNE","13, rue de la velouterie 84000 Avignon","43.9443569 4.79952079999998","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/alya-le-chapeau-d-ebene-t4702/"
"ALIZÉ","15, rue du 58è R.I 84000 Avignon","43.94488 4.815703","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/alize-t4642/"
"Hôtel Tonduty de Malijaque","17, rue Petite Fusterie 84000 Avignon","43.949727 4.804298","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/hotel-tonduty-de-malijaque-t4798/"
"REMPART (THÉÂTRE DU)","56, rue du rempart Saint Lazare 84000 Avignon","43.9520871 4.81708520000007","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/rempart-theatre-du-t4688/"
"PETIT CHIEN (THÉÂTRE LE)","76 Rue Guillaume Puy 84000 Avignon","43.9444047 4.81431769999995","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/petit-chien-theatre-le-t4658/"
"GÉMEAUX (THÉÂTRE DES)","10 rue du Vieux Sextier 84000 Avignon","43.9483 4.80796","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/gemeaux-theatre-des-t4761/"
"CENTRE (THÉÂTRE DU)","13, rue Louis Pasteur 84000 Avignon","43.9494542 4.81392370000003","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/centre-theatre-du-t4689/"
"ISLE 80","18, place des trois Pilats 84000 Avignon","43.9512285 4.81188369999995","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/isle-80-t4716/"
"HIVERNALES (LES) - CDCN d'Avignon","18, rue Guillaume Puy 84000 Avignon","43.9495891 4.81420750000007","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/hivernales-les-cdcn-d-avignon-t4672/"
"PARENTHÈSE (LA)","18 rue des études 84000 Avignon","43.9455298 4.80903050000006","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/parenthese-la-t4730/"
