"Nom","Adresse","longlat","Voir les spectacles du jour"
"HUMANUM","149, rue de la carreterie 84000 Avignon","43.951629 4.816853","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/humanum-t4771/"
"MARELLE DES TEINTURIERS","84 RUE BONNETERIE 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/marelle-des-teinturiers-t4802/"
"CHAPELLE DU VERBE INCARNÉ","21G, rue des lices (en face du n°60) 84000 Avignon","43.945491 4.810556","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chapelle-du-verbe-incarne-t4656/"
"LE VIEUX SAGE (THÉÂTRE)","34 rue Carreterie 84000 Avignon","43.9510841369629 4.81524658203125","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/le-vieux-sage-theatre-t4779/"
"CHIEN QUI FUME (THÉÂTRE DU)","75 rue des Teinturiers 84000 Avignon","43.94507 4.814268","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chien-qui-fume-theatre-du-t4657/"
"GOLOVINE (THÉÂTRE)","1 Bis rue Sainte Catherine 84000 Avignon","43.9504275 4.80932080000002","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/golovine-theatre-t4670/"
"CARNOT (THÉÂTRE)","16 rue Carnot 84000 Avignon","43.9488611 4.80929140000001","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/carnot-theatre-t4719/"
"CINÉVOX THÉÂTRE (LE)","22, place de l’Horloge 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/cinevox-theatre-le-t4787/"
"Cour des Notaires","23 bis, rue Thiers 84000 Avignon","43.947392 4.812954","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/cour-des-notaires-t4797/"
"Médiathèque Ceccano","2 bis rue Laboureur 84000 Avignon","43.9464 4.807","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/mediatheque-ceccano-t4799/"
"LÀ ! C'EST DE LA MUSIQUE (CONCERTS EN PLEIN AIR)","34 RUE JOSEPH VERNET 84000 Avignon","43.9483207 4.80328150000003","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/la-c-est-de-la-musique-concerts-en-plein-air-t4750/"
"Collection Lambert","5 rue Violette  84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/collection-lambert-t4708/"
"PETIT LOUVRE (TEMPLIERS)","3 rue Félix Gras 84000 Avignon","43.9485991 4.80407379999997","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/petit-louvre-templiers-t4683/"
"OPTIMIST (THÉÂTRE L')","50 rue Guillaume Puy 84000 Avignon","43.9466 4.81407","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/optimist-theatre-l-t4653/"
"PETITES FORMES (MONTFAVET - FESTIVAL LES)","Parc Seguin / 285, cours cardinal Bertrand 84140 Montfavet Localiser sur la carte","43.9330755 4.8732632","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/petites-formes-montfavet-festival-les-t4749/"
"CASERNE DES POMPIERS (LA)","116, rue de la Carreterie 84000 Avignon","43.9511407 4.81622449999998","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/caserne-des-pompiers-la-t4756/"
"ACTUEL (THÉÂTRE)","80, rue Guillaume Puy 84000 Avignon","43.9442687 4.81445340000005","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/actuel-theatre-t4741/"
"GIRASOLE (THÉÂTRE DU)","24 bis, rue Guillaume Puy 84000 Avignon","43.9484073 4.8142785","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/girasole-theatre-du-t4724/"
"COUR DU BAROUF - COUR DES PLATANES","15 rue Louis Pasteur 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/cour-du-barouf-cour-des-platanes-t4780/"
"POLE CULTUREL JEAN FERRAT","157 rue des écoles et du stade 30150 Sauveterre Localiser sur la carte","44.0218997391839 4.79715307822424","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/pole-culturel-jean-ferrat-t4788/"
"Chapelle de l'Oratoire","32 rue Joseph Vernet 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chapelle-de-l-oratoire-t4805/"
"Boulodrome de l’Ile Piot","1 chemin de l’Ile Piot – Sous le pont Daladier 84000 Avignon","43.9518 4.79838","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/boulodrome-de-l-ile-piot-t4707/"
"Castel","Chemin de la Caramude 30400 Villeneuve lès Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/castel-t4794/"
"ÎLOT CHAPITEAUX","353 chemin des Canotiers, Ile de la Barthelasse 84000 Avignon","43.955871 4.810324","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/ilot-chapiteaux-t4673/"
"Pôle Théâtre et Marionnette","2155 Chemin de la Barthelasse 84000 Avignon","43.9641561431578 4.81623802815272","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/pole-theatre-et-marionnette-t4709/"
"Mon bar","15, rue Portail Matheron 84000 Avignon","43.9497344162453 4.81235101819038","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/mon-bar-t4804/"
"Chapelle des Templiers","23 rue Saint Agricol 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/chapelle-des-templiers-t4806/"
