"city","name","url"
"Valence, France","Dehors ! Rencontres de Spectacles très vivants","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#dehors--rencontres-de-spectacles-trs-vivants"
"Montmort, France","y'a Pas la mer","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#ya-pas-la-mer"
"Sablé-sur-sarthe, France","Festival de Sablé","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-de-sabl"
"Le grand-bornand, France","Au Bonheur Des Mômes","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#au-bonheur-des-mmes"
"Jarnioux, France","Festival À l'Ombre des mots","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival--lombre-des-mots"
"Annecy, France","Coups de Théâtre","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#coups-de-thtre"
"Laval, France","Le Chainon Manquant","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#le-chainon-manquant"
"Lille, France","Furies","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#furies"
"Saint martin d'hères, France","Festival Merci, Bonsoir #6BIS","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-merci-bonsoir-6bis"
"Sauxillanges, France","Festival du TRAC","https://www.imparato.io/blog/l_ete_des_festivals_de_theatre_2021#festival-du-trac"
